Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
6,9650,0,0,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 6}]","{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson'}",0,1,1
12,2452,0,1,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 6}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}]",,1,0,-0.045
18,2794,0,1,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 12}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}]",,0,0,0.085
24,4888,0,1,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 18}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}]",,0,1,0.234
30,1345,6,1,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 24}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}]",,0,1,0.349
45,22,12,1,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 39}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}]",,0,1,0.533
51,505,12,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 39}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,1,1,0.411
57,8738,18,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 45}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.462
63,4353,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 51}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 6}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.505
69,9530,18,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 51}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,1,1,0.37
75,4252,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 57}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.409
81,986,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 63}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.444
87,2902,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 69}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.475
93,3143,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 75}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.503
99,4490,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 81}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.528
105,8719,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 87}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.551
111,9618,0,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 93}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.572
117,8395,3,2,"[{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 99}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 12}, {'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,1,0.591
