Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
6,4348,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 6}]","{'situation': 'BlockedBuilding', 'object': 'Hospital'}",0,1,1
12,503,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 12}]",,0,1,1
18,2489,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 18}]",,0,1,1
24,3888,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 24}]",,0,1,1
30,6466,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 30}]",,0,1,1
36,6564,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 36}]",,0,1,1
42,6639,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 42}]",,0,1,1
48,7458,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 48}]",,0,1,1
54,9007,0,0,"[{'situation': 'BlockedBuilding', 'object': 'Hospital', 'coders': 54}]",,0,1,1
