id,dir_obs_id,observer,a1,a2,sender,where,when,sent_at_loop,sent_where
1,1,2450,2450,25,25,2183461742,0,0,2183461742
2,1,2450,7944,25,25,2183461742,0,0,2183461742
3,1,2450,2450,7944,25,2334182140,0,0,2183461742
4,2,7944,7944,2450,25,2334182140,0,0,2183461742
5,2,7944,2450,25,25,2183461742,0,0,2183461742
6,2,7944,7944,25,25,2183461742,0,0,2183461742
7,3,1536,1536,57,57,1573887673,0,0,1573887673
8,3,1536,3097,57,57,1573887673,0,0,1573887673
9,3,1536,1536,3097,57,1573887696,0,0,1573887673
10,3,1536,9535,57,57,1573887673,0,0,1573887673
11,3,1536,1536,9535,57,1573887696,0,0,1573887673
12,3,1536,3097,9535,57,1573887696,0,0,1573887673
13,4,3097,3097,1536,57,1573887696,0,0,1573887673
14,4,3097,1536,57,57,1573887673,0,0,1573887673
15,4,3097,3097,57,57,1573887673,0,0,1573887673
16,4,3097,9535,57,57,1573887673,0,0,1573887673
17,4,3097,1536,9535,57,1573887696,0,0,1573887673
18,4,3097,3097,9535,57,1573887696,0,0,1573887673
19,5,9535,9535,1536,57,1573887696,0,0,1573887673
20,5,9535,1536,57,57,1573887673,0,0,1573887673
21,5,9535,3097,57,57,1573887673,0,0,1573887673
22,5,9535,1536,3097,57,1573887696,0,0,1573887673
23,5,9535,9535,3097,57,1573887696,0,0,1573887673
24,5,9535,9535,57,57,1573887673,0,0,1573887673
25,6,89,89,89,89,2125013107,0,0,2125013111
26,7,1423,1423,89,89,2125013107,0,0,2125013111
27,8,3339,3339,89,89,2125013107,0,0,2125013111
28,9,5278,5278,89,89,2125013107,0,0,2125013111
29,10,6777,6777,89,89,2125013107,0,0,2125013111
30,11,2574,2574,7,7,3103662122,3,3,3103662122
31,12,6332,6332,2574,7,394034737,0,3,3103662122
32,12,6332,2574,7,7,3103662122,3,3,3103662122
33,13,6350,6350,2574,7,394034737,0,3,3103662122
34,13,6350,2574,7,7,3103662122,3,3,3103662122
35,14,8209,8209,2574,7,394034737,0,3,3103662122
36,14,8209,2574,7,7,3103662122,3,3,3103662122
37,15,58,58,58,58,394933697,3,3,394933697
38,16,5620,5620,4994,58,394933701,0,3,394933697
39,16,5620,6281,4994,58,394933701,0,3,394933697
40,16,5620,5620,6281,58,394933697,0,3,394933697
41,16,5620,6756,4994,58,394933701,0,3,394933697
42,16,5620,5620,6756,58,394933697,0,3,394933697
43,16,5620,6281,6756,58,394933697,0,3,394933697
44,16,5620,4994,58,58,394933697,3,3,394933697
45,16,5620,6281,58,58,394933697,3,3,394933697
46,17,6281,6281,5620,58,394933697,0,3,394933697
47,17,6281,5620,4994,58,394933701,0,3,394933697
48,17,6281,6281,4994,58,394933701,0,3,394933697
49,17,6281,6756,4994,58,394933701,0,3,394933697
50,17,6281,5620,6756,58,394933697,0,3,394933697
51,17,6281,6281,6756,58,394933697,0,3,394933697
52,17,6281,4994,58,58,394933697,3,3,394933697
53,17,6281,6281,58,58,394933697,3,3,394933697
54,18,6756,6756,5620,58,394933697,0,3,394933697
55,18,6756,5620,4994,58,394933701,0,3,394933697
56,18,6756,6281,4994,58,394933701,0,3,394933697
57,18,6756,5620,6281,58,394933697,0,3,394933697
58,18,6756,6756,6281,58,394933697,0,3,394933697
59,18,6756,6756,4994,58,394933701,0,3,394933697
60,18,6756,4994,58,58,394933697,3,3,394933697
61,18,6756,6281,58,58,394933697,3,3,394933697
62,19,4994,4994,58,58,394933697,3,3,394933697
63,20,5705,5705,58,58,394933697,3,3,394933697
64,21,6281,6281,58,58,394933697,3,3,394933697
65,22,9650,9650,22,22,2146616727,6,6,2146616727
66,23,2452,2452,9650,22,2334323188,0,6,2146616727
67,23,2452,2794,9650,22,2334323188,0,6,2146616727
68,23,2452,2452,2794,22,2334323188,0,6,2146616727
69,23,2452,4888,9650,22,2334323188,0,6,2146616727
70,23,2452,2452,4888,22,2334323188,0,6,2146616727
71,23,2452,2794,4888,22,2334323188,0,6,2146616727
72,23,2452,9650,22,22,2146616727,6,6,2146616727
73,24,2794,2794,2452,22,2334323188,0,6,2146616727
74,24,2794,2452,9650,22,2334323188,0,6,2146616727
75,24,2794,2794,9650,22,2334323188,0,6,2146616727
76,24,2794,4888,9650,22,2334323188,0,6,2146616727
77,24,2794,2452,4888,22,2334323188,0,6,2146616727
78,24,2794,2794,4888,22,2334323188,0,6,2146616727
79,24,2794,9650,22,22,2146616727,6,6,2146616727
80,25,4888,4888,2452,22,2334323188,0,6,2146616727
81,25,4888,2452,9650,22,2334323188,0,6,2146616727
82,25,4888,2794,9650,22,2334323188,0,6,2146616727
83,25,4888,2452,2794,22,2334323188,0,6,2146616727
84,25,4888,4888,2794,22,2334323188,0,6,2146616727
85,25,4888,4888,9650,22,2334323188,0,6,2146616727
86,25,4888,9650,22,22,2146616727,6,6,2146616727
87,26,606,606,72,72,921903646,6,6,921903646
88,26,606,1865,72,72,921903646,6,6,921903646
89,26,606,606,1865,72,921905665,3,6,921903646
90,27,1865,1865,606,72,921905665,3,6,921903646
91,27,1865,606,72,72,921903646,6,6,921903646
92,27,1865,1865,72,72,921903646,6,6,921903646
93,28,9716,9716,89,89,2125013111,6,6,2125013111
94,29,5066,5066,9716,89,2125013107,3,6,2125013111
95,29,5066,7401,9716,89,2125013107,3,6,2125013111
96,29,5066,5066,7401,89,2125013107,3,6,2125013111
97,29,5066,9716,89,89,2125013111,6,6,2125013111
98,30,7401,7401,5066,89,2125013107,3,6,2125013111
99,30,7401,5066,9716,89,2125013107,3,6,2125013111
100,30,7401,7401,9716,89,2125013107,3,6,2125013111
101,30,7401,9716,89,89,2125013111,6,6,2125013111
102,31,94,94,94,94,2429685748,6,6,2429685748
103,32,8272,8272,94,94,2429685748,6,6,2429685748
104,33,7275,7275,8272,94,2429685748,0,6,2429685748
105,33,7275,8272,94,94,2429685748,6,6,2429685748
106,34,156,156,8272,94,6161118252,3,6,2429685748
107,34,156,8272,94,94,2429685748,6,6,2429685748
108,35,8272,8272,94,94,2429685748,6,6,2429685748
109,36,4432,4432,300,96,2336901376,0,6,921904362
110,36,4432,6514,300,96,2336901376,0,6,921904362
111,36,4432,4432,6514,96,2336901407,0,6,921904362
112,36,4432,300,8980,96,2336901376,0,6,921904362
113,36,4432,3297,8980,96,2336901376,0,6,921904362
114,36,4432,300,3297,96,2336901376,0,6,921904362
115,36,4432,4432,3297,96,2336901376,0,6,921904362
116,36,4432,6514,3297,96,2336901376,0,6,921904362
117,36,4432,3408,8980,96,2336901376,0,6,921904362
118,36,4432,300,3408,96,2336901376,0,6,921904362
119,36,4432,3297,3408,96,2336901376,0,6,921904362
120,36,4432,4432,3408,96,2336901376,0,6,921904362
121,36,4432,6514,3408,96,2336901376,0,6,921904362
122,36,4432,4432,8980,96,2336901376,0,6,921904362
123,36,4432,6514,8980,96,2336901376,0,6,921904362
